d2,d4,0
d7,d5,0
c2,c4,0
e7,e6,0
b1,c3,0
g8,f6,0
c1,g5,0
f8,e7,0
g1,f3,0
b8,d7,0
e2,e3,0
b7,b6,0
d1,c2,0
d5,c4,0
f1,c4,0
c8,b7,0
c4,d3,0
b7,f3,0
g2,f3,0
f6,d5,0
g5,e7,0
d8,e7,0
c3,d5,0
e6,d5,0
c2,c7,0
e8,g8,0
c7,g3,0
a8,c8,0
e1,e2,0
g8,h8,0
h1,g1,0
g7,g6,0
g3,h3,0
h8,g7,0
g1,g4,0
e7,e6,0
h3,h4,0
d7,f6,0
g4,g3,0
f8,h8,0
g3,h3,0
f6,h5,0
a1,g1,0
h5,f6,0
h4,h6,0
g7,g8,0
d3,g6,0
f7,g6,0
g1,g6,0
h7,g6,0
h6,g6,0
g8,f8,0
h3,h8,0
f8,e7,0
g6,g7,0
e7,d6,0
h8,c8,0
e6,c8,0
g7,f6,0
d6,c7,0
f6,e7,0
c7,b8,0
e7,d6,0
b8,b7,0
d6,d5,0
b7,a6,0
d5,e4,0
c8,c4,0
e4,d3,0
c4,d3,0
e2,d3,0
